key,value,activity_category
sport,netball;tennis,physical
sport,orienteering,physical
sport,outdoor_bowling_club,physical
sport,paddle_tennis,physical
sport,padel,physical
sport,parkour,physical
sport,pedalboat,physical
sport,pelota,physical
sport,pickleball,physical
sport,ping_pong,physical
sport,racquet,physical
sport,rc_car,physical
sport,rodeo,physical
sport,roller_hockey,physical
sport,roller_skating,physical
sport,roller_skating;roller_hockey;futsal;cycle_polo,physical
sport,rowing,physical
sport,rugby,physical
sport,rugby_league,physical
sport,rugby_union,physical
sport,rugby_union;soccer,physical
sport,running,physical
sport,sailing,physical
sport,sepak_takraw,physical
sport,shooting,physical
sport,shuffleboard,physical
sport,skateboard,physical
sport,skateboard;bmx,physical
sport,skateboard;bmx;cycling;roller_skating,physical
sport,skateboard;roller_skating,physical
sport,skating,physical
sport,skiing,physical
sport,slides,physical
sport,soccer,physical
sport,soccer;american_football,physical
sport,soccer;athletics,physical
sport,soccer;australian_football,physical
sport,soccer;baseball,physical
sport,soccer;basketball,physical
sport,soccer;basketball;handball,physical
sport,soccer;basketball;netball,physical
sport,soccer;basketball;volleyball,physical
sport,soccer;canadian_football,physical
sport,soccer;canadian_football;american_football,physical
sport,soccer;football,physical
sport,soccer;football;five-a-side,physical
sport,soccer;handball,physical
sport,soccer;houston,physical
sport,soccer;ice_skating,physical
sport,soccer;netball;basketball,physical
sport,soccer;rugby,physical
sport,softball,physical
sport,softball;baseball,physical
sport,soo,physical
sport,squash,physical
sport,street_hockey,physical
sport,street_soccer,physical
sport,swimming,physical
sport,swimming;fitness,physical
sport,swimming;skating;curling,physical
sport,table_soccer,physical
sport,table_tennis,physical
sport,team_handball,physical
sport,tennis,physical
sport,tennis;basketball,physical
sport,tennis;netball,physical
sport,tennis;pickleball,physical
sport,tennis;soccer,physical
sport,tennis;volleyball,physical
sport,tennis_table,physical
sport,tennisl;volleyball,physical
sport,teqball,physical
sport,toboggan,physical
sport,trugo,physical
sport,ultimate,physical
sport,volleyball,physical
sport,volleyball;badminton,physical
sport,volleyball;basketball,physical
sport,wakeboarding,physical
sport,West Park - asphalt,physical
sport,workout,physical
stadium,floodlight,physical
station,funicular,physical
station,gondola,physical
station,miniature,cultural
statue,animal,cultural
statue,equestrian,cultural
statue,human,cultural
stile,ladder,physical
stile,squeezer,physical
stile,stepover,physical
swimming,customers,physical
swimming_pool,outdoor,physical
tee,black,physical
tee,blue,physical
tee,gold,physical
tee,red,physical
tee,white,physical
tennis,full,physical
theatre,open_air,cultural
theatre:type,amphi,cultural
theatre:type,open_air,cultural
tomb,cenotaph,cultural
tomb,columbarium,cultural
tomb,mausoleum,cultural
tomb,tumulus,cultural
tomb,war_grave,cultural
tombstone,stecak,cultural
toponym,park,nature
tourism,aquarium,nature
tourism,artwork,cultural
tourism,attraction,cultural
tourism,cabin,nature
tourism,camp_pitch,nature
tourism,camp_site,nature
tourism,caravan_site,social
tourism,chalet,social
tourism,gallery,cultural
tourism,guest_house,social
tourism,historic,cultural
tourism,hostel,social
tourism,information,social
tourism,map,nature
tourism,monument,cultural
tourism,museum,cultural
tourism,picnic_site,nature
tourism,picnic_table,social
tourism,route_marker,physical
tourism,ruins,cultural
tourism,theme_park,social
tourism,viewpoint,nature
tourism,zoo,nature
tourism_1,attraction,cultural
tourism_1,viewpoint,nature
training,sport,physical
trees,alligustre_trees,nature
trees,apple_trees,nature
trees,ash_trees,nature
trees,cherry-plum_trees,nature
trees,cherry_trees,nature
trees,liquidambar_trees,nature
trees,olive_trees,nature
trees,pine_trees,nature
usage,cider,cultural
usage,Cider,cultural
usage,culinary,cultural
usage,culinary & dessert,social
usage,tourism,cultural
utility,electroacoustic;transducer,cultural
utility,water,nature
valves,schrader;presta,physical
vegetation,grass,physical
waste,ash,environmental
waste,BBQ,social
waste,bbq_coals,social
waste,charcoal,environmental
waste,coals,environmental
waste,dog_waste,physical
waste,fishing,nature
waste,hot_coals,physical
waste,household,environmental
waste,litter,environmental
waste,litter;dog_excrement,environmental
waste,litter;trash,environmental
waste,mixed;plastic,environmental
waste,organic,environmental
waste,plastic,environmental
waste,plastic;paper,environmental
waste,plastics,environmental
waste,recycling,environmental
waste,recycling;trash,environmental
waste,trash,environmental
waste,trash;ash;charcoal,environmental
waste,trash;dog_excrement,environmental
waste,trash;dog_excrement;cigarettes,environmental
waste,trash;dog_excrement;cigarettes;bottles,environmental
waste,trash;dog_excrement;mixed,environmental
waste,trash;dog_excrement;mixed;litter;cigarettes;organic;plastic,environmental
waste,trash;dog_excrement;organic;paper;plastic;recycling;compost;*,environmental
waste,trash;litter,environmental
waste,trash;mixed,environmental
waste,trash;mixed;dog_excrement,environmental
waste,trash;plastic,environmental
waste,trash;recycling,environmental
waste,trash;recycling;organic,environmental
waste_basket,dog_excrement,environmental
waste_basket,molok,environmental
water,Arboritum_Lake,nature
water,Arrowwood_Pond,nature
water,basin,nature
water,canal,physical
water,ditch,environmental
water,fishpond,nature
water,fountain,social
water,harbour,social
water,lagoon,nature
water,lake,nature
water,low,nature
water,moat,nature
water,oxbow,nature
water,paddling_pool,physical
water,pond,nature
water,pool,physical
water,reservoir,nature
water,river,nature
water,stream,nature
water,wetland,nature
water_park,outdoor,physical
waterway,boatyard,physical
waterway,canal,physical
waterway,dam,physical
waterway,ditch,environmental
waterway,dock,physical
waterway,flow_control,environmental
waterway,lock_gate,physical
waterway,pond,nature
waterway,pump_out,environmental
waterway,rapids,physical
waterway,steps,physical
waterway,stream,nature
waterway,water_point,nature
waterway,waterfall,nature
waterway,weir,nature
wetland,bog,nature
wetland,mangrove,nature
wetland,marsh,nature
wetland,meadow,nature
wetland,peat_bog,nature
wetland,reedbed,nature
wetland,saltmarsh,nature
wetland,swamp,nature
wetland,tidalflat,nature
wetland,wet_meadow,nature
wheelchair,designated,physical
whitewater,hazard,physical
wood,non-coniferous,nature
zoo,aviary,nature
zoo,biozone,nature
zoo,birds,nature
zoo,enclosure,nature
zoo,petting_zoo,social
